TIMESTAMP,ContextTokens,GeneratedTokens
1700158708496,788,51
1700158709164,918,397
1700158709344,206,179
1700158709437,4076,51
1700158709710,1068,664
1700158710241,1042,472
1700158710256,417,92
1700158710437,409,146
1700158710457,1002,373
1700158710936,942,104
1700158711152,983,414
1700158711259,4088,67
1700158711343,1113,1000
1700158711420,203,217
1700158711503,435,83
1700158711531,4086,37
1700158711694,91,16
1700158711784,1071,386
1700158712157,167,217
1700158712158,200,161
1700158712292,181,92
1700158712471,181,118
1700158712918,4090,45
1700158712969,1201,546
1700158712971,1208,400
1700158713133,373,57
1700158713430,1005,407
1700158713519,130,199
1700158713748,1008,398
1700158713849,91,16
1700158714127,392,109
1700158714198,394,94
1700158714377,988,466
1700158714417,1146,380
1700158714474,4089,67
1700158714514,1091,436
1700158715030,379,87
1700158715164,411,93
1700158715452,4083,62
1700158716272,396,65
1700158716335,4088,107
1700158716561,4073,29
1700158716590,1060,396
1700158716623,1046,429
1700158716637,398,79
1700158716900,3067,101
1700158717292,381,99
1700158717497,1117,428
1700158717582,383,69
1700158717592,403,106
1700158717833,377,69
1700158717944,403,101
1700158718285,1145,396
1700158718467,1209,403
1700158718610,893,455
1700158719253,1036,411
1700158719403,203,217
1700158719676,200,217
1700158719677,299,18
1700158719911,1142,436
1700158720155,1318,234
1700158720866,323,18
1700158721019,1023,416
1700158721139,1039,593
1700158721361,1024,414
1700158721847,206,165
1700158721886,371,97
1700158722069,373,66
1700158722120,385,73
1700158722213,203,167
1700158722562,398,132
1700158722656,1241,421
1700158722679,1050,374
1700158722804,4075,63
1700158723006,401,86
1700158723099,1436,386
1700158723287,389,65
1700158723511,386,49
1700158723542,1069,426
1700158723574,212,217
1700158723604,991,373
1700158723680,181,112
1700158724015,4082,210
1700158724106,395,142
1700158724876,1007,451
1700158724901,395,91
1700158725394,324,18
1700158725427,200,167
1700158725449,397,103
1700158725449,4074,67
1700158725513,452,101
1700158725634,391,93
1700158725719,1061,429
1700158725841,1007,379
1700158726036,398,99
1700158726055,913,398
1700158726177,999,412
1700158726228,385,84
1700158726238,4096,45
1700158726575,1161,408
1700158727002,396,113
1700158727305,4080,35
1700158727423,200,188
1700158727484,1116,401
1700158727514,1046,531
1700158727652,1015,397
1700158727670,396,95
1700158727752,1320,201
1700158727755,1040,396
1700158727780,416,153
1700158727915,384,61
1700158728323,1288,418
1700158728405,203,162
1700158728424,400,82
1700158728581,209,217
1700158728607,402,134
1700158728639,906,146
1700158728724,1312,204
1700158728819,4076,92
1700158729204,1042,373
1700158729265,128,205
1700158729606,1067,398
1700158729678,1170,398
1700158730042,1129,396
1700158730457,4075,52
1700158730547,401,144
1700158730678,1032,401
1700158730779,407,122
1700158730828,1102,425
1700158731008,1088,407
1700158731221,385,107
1700158731265,967,398
1700158731351,395,83
1700158731498,1160,392
1700158731668,1019,413
1700158731759,4082,31
1700158732231,181,172
1700158732362,91,24
1700158732442,409,125
1700158732462,383,58
1700158732532,1363,363
1700158732538,1034,550
1700158732545,200,174
1700158732602,4083,46
1700158733016,4119,36
1700158733177,998,373
1700158733301,203,217
1700158733571,1317,268
1700158733614,1001,399
1700158733734,167,168
1700158733862,1093,429
1700158733896,3053,69
1700158733957,373,27
1700158733989,4080,61
1700158734295,209,194
1700158734512,1314,161
1700158734540,91,16
1700158734779,2584,150
1700158734784,1072,446
1700158735045,370,69
1700158735050,379,88
1700158735075,1129,136
1700158735128,372,90
1700158735291,1297,368
1700158735299,1012,420
1700158735301,377,53
1700158735491,1191,411
1700158735567,4078,62
1700158736303,393,101
1700158736481,1208,413
1700158736831,379,62
1700158737189,4132,75
1700158737535,394,70
1700158737574,425,96
1700158737709,313,18
1700158737739,134,202
1700158737800,181,418
1700158738386,1027,405
1700158738530,1035,431
1700158738638,391,93
1700158738815,395,118
1700158739521,371,58
1700158739863,1098,396
1700158739955,1296,398
1700158740042,124,159
1700158740201,394,104
1700158740283,1230,399
1700158740542,2786,99
1700158740693,380,74
1700158740875,91,16
1700158741552,1298,402
1700158741571,4077,40
1700158741738,1101,405
1700158741926,998,518
1700158742079,378,52
1700158742087,1033,394
1700158742124,4085,53
1700158742168,4126,113
1700158742198,395,90
1700158742571,4075,58
1700158743106,1120,415
1700158743201,420,104
1700158743462,1138,396
1700158743882,406,89
1700158743989,1314,152
1700158744145,4089,68
1700158744500,1057,445
1700158744765,4095,50
1700158745318,1074,403
1700158745479,1133,432
1700158745499,1110,451
1700158745503,1005,111
1700158745504,853,106
1700158745776,1198,396
1700158745839,372,61
1700158746259,4084,66
1700158746696,381,91
1700158746859,1112,404
1700158747005,956,75
1700158747017,431,99
1700158747358,957,414
1700158747454,400,85
1700158747552,2436,83
1700158747832,4075,28
1700158748042,394,93
1700158748760,1216,456
1700158748826,1398,44
1700158749061,218,179
1700158749119,4100,48
1700158749167,391,93
1700158749287,383,83
1700158749384,22,147
1700158749716,1247,398
1700158749762,1318,139
1700158749901,203,193
1700158750083,1135,410
1700158750204,1009,393
1700158750228,1249,413
1700158750431,391,94
1700158750456,163,158
1700158750580,404,71
1700158750795,871,103
1700158751000,4091,87
1700158751322,978,401
1700158751619,372,28
